Title,Name,Location
응용소프트웨어 신입 경력 초빙,쿠노소프트,서울 성북구
HR Data Analyst,에스케이머티리얼즈,서울
코나체인 데이터처리(경력),코나아이,서울 영등포구
플랫폼사업팀 로봇 응용 S/W 개발자(경력),클로봇,성남 분당구
[데이터 프로덕트] MLOps 개발자,카카오,성남 판교역
백엔드 개발자,신한에이아이,서울 영등포구
인공지능(딥러닝) 로봇 자동화 소프트웨어 개발자(Python우대),주식회사 토트 관심기업,서울 성수동1가
[EY한영] 세무본부 PAS팀 IT 개발 담당 계약직 채용,EY,서울 영등포구
[NAVER Cloud] Media 서비스 개발,네이버클라우드,성남 분당구
[NHN DATA] 데이터처리 플랫폼 개발자 경력,엔에이치엔데이터,성남 분당구
Software Engineer - Python and K8s,Canonical - Jobs,서울
Technical Support Engineering-AKS,Microsoft,서울
PM(서비스/개발),현대카드 캐피탈,서울 영등포구
경영관리 기획 담당 모집,엔씨소프트,성남 판교역
AI Frameworks Engineer,Intel,서울
기계학습 전문가 모집,엔씨소프트,성남 판교역
IT분야 개발자,토이코스,세종특별자치시 세종
[NAVER Cloud] 클라우드 빌링 시스템 개발,네이버클라우드,성남 분당구
각 부문 신입/경력 직원,한국전자금융,서울 마포구
반도체 IP SoC Verification Engineer,회사명,성남 분당구
[AI 가상인간 기술 스타트업] (주)유어라운드 AI 연구개발자,유어라운드,서울 마포구
[IT] 경영지원 분야 빅데이터 분석(데이터 사이언티스트)[매니저],현대자동차그룹,대한민국
[데이터 프로덕트] 실험(A/B Test) 분석가 모집,카카오,성남 판교역
빅데이터 리더 정규직,hTLM HR,안양 동안구
데이터플랫폼/기준정보 부문 경력,현대오토에버,서울 강남구
딥러닝 통한 인공지능 솔루션 개발자,엘세븐시큐리티,서울 송파구
22년 SW개발자 Internship (아이들나라CTO),LG유플러스,서울
데이터 애널리스트 (Data Analyst),뱅크샐러드,서울 영등포구
ITエンジニア,(株)ecoletree,서울
(주)두원전자통신 부문별 개발 담당자,두원전자통신,경기도 시흥
5G RAN R&D 소프트웨어 개발자 신입/경력 (0명 채용),Ericsson,서울
[PPM솔루션 클로바인] 연구소 IT 테크 직군 선행연구 개발자,헤븐트리,서울 강남구
[전문연구요원] 반도체IP HW 개발자,칩스앤미디어,서울 강남구
Digital Human 을 위한 AI 연구자/엔지니어 모집,엔씨소프트,성남 판교역
데이터 엔지니어 및 사이언티스트,카카오,성남 판교역
[정보보안] 모의해킹[책임매니저],현대자동차그룹,대한민국
ML Engineer (토스뱅크),비바리퍼블리카,서울 강남구
